Nombre del producto,Principal objetivo,Instrucciones de Uso,Ventajas,Presentación,Más información
3M Filtek Bulk Fill Flowable Restorative,"Promover el restaurador fluido 3M™ Filtek™ Bulk Fill Flowable Restorative, un material dental diseñado para facilitar restauraciones profundas con mejor control, visibilidad y ergonomía.","1) Prepare el diente y aplique un adhesivo, como 3M™ Single Bond™ Universal.
2) Dispense hasta 4 mm de la resina directamente en la cavidad preparada y fotocure, utilizando por ejemplo una lámpara 3M™ Elipar™ DeepCure-S LED.
3) Aplique una capa de al menos 2 mm de una resina compuesta adicional si es necesario, como 3M™ Filtek™ Universal Restorative, y fotocure nuevamente.","Menos burbujas y desperdicio: Reducción de burbujas en la pasta y mínimo escurrimiento.
Cánula flexible: Facilita el acceso a áreas difíciles sin torceduras.
Ergonomía optimizada: Diseño fácil de sostener e inyectar con comodidad.
Colocación simplificada: Inyección en bloque de hasta 4 mm en una sola capa.
Adaptación excelente: Buena adhesión y bajo estrés de contracción.
Durabilidad: Permite calentarse hasta 70°C para modelado por inyección.","Jeringas ergonómicas con barra de indicador visible para controlar el material restante.
Cada paquete incluye dos jeringas de 2 g y 20 puntas dispensadoras.
Disponible en tonos A1, A2, A3 y Universal, con puntas dispensadoras verdes (calibre 19).",https://www.3mchile.cl/3M/es_CL/p/d/b5005386010/
Filtek™ Bulk Fill Resina para Posteriores,"Promover el uso de la Filtek™ Bulk Fill Resina para Posteriores, una solución dental diseñada para simplificar y agilizar los procedimientos de restauración posterior mediante una aplicación de relleno en bloque en un solo paso.","1- Coloque la resina en bloque directamente en incrementos de hasta 5 mm.
2- Fotocure cada capa durante 10 segundos (oclusal, bucal y lingual).
3- Utilice un adhesivo compatible, como Scotchbond™ Universal Adhesive, para mejores resultados.
4- Consulte las instrucciones específicas del fabricante para el procedimiento completo.","Rápido y sencillo: Colocación en un solo paso sin capas adicionales.
Fotocurado eficaz: Hasta 5 mm de profundidad en solo 10 segundos.
Sin dispositivos costosos: No se requiere equipo especializado para dispensar.
Resistencia mejorada: Alta durabilidad y resistencia al desgaste in vitro.
Adaptación y manejo: Excelente adaptación y manipulación del material.
Reducción de estrés: Monómeros innovadores que disminuyen el estrés de polimerización.","Jeringas disponibles en tonos A1, A2, A3, B1 y C2.
Cada kit incluye 2 jeringas de 4 g, adhesivo universal, ruedas Sof-Lex™ para pulido y una guía técnica.
Puntas dispensadoras de calibre 19 disponibles en color naranja.",https://www.3mchile.cl/3M/es_CL/dental-la/productos/resina-restaurativa-filtek-bulk/
3M™ Filtek™ Universal Restorative - All Shades Except Pink Opaquer,"Proveer una solución universal para restauraciones dentales con el 3M™ Filtek™ Universal Restorative, diseñado para simplificar procedimientos clínicos mediante una selección reducida de tonos y una tecnología avanzada que mejora la estética y durabilidad.","1- Seleccione el tono adecuado (entre los 8 disponibles o el extrablanco).
2- Prepare el diente y aplique el material usando cápsulas o jeringas.
3- Modele el material fácilmente gracias a su diseño fluido inicial y mayor viscosidad al aplicarlo.
4- Fotocure según las especificaciones del fabricante para obtener resultados óptimos.","Simplificación del color: Solo 8 tonos y un extrablanco cubren la mayoría de necesidades clínicas.
Pink Opaquer incluido: Diseñado para enmascarar áreas oscuras, metales y tinciones dentales.
Durabilidad: Alta resistencia al desgaste gracias a la tecnología de nanotecnología patentada.
Adaptación natural: Tecnología 3M NaturalMatch que permite una integración cromática superior.
Diseño ergonómico: Cápsulas con puntas largas y flexibles para acceso a zonas difíciles.
Pulido rápido y duradero: Acabados estéticos que mantienen el brillo con el tiempo.
Mayor radiopacidad: Facilita su identificación en seguimientos clínicos.","Disponible en kits esenciales con jeringas o cápsulas, no incluye el Pink Opaquer.
Repuestos disponibles para todos los tonos excepto rosa (Pink Opaquer)
Compatible con calentamiento para optimizar el manejo del material.",https://www.3mchile.cl/3M/es_CL/p/d/b5005092004/
3M™ Adper™ Adhesivo Single Bond 2,"Proveer una descripción técnica y funcional del producto adhesivo dental Adper Single Bond 2, diseñado para procedimientos de adhesión en esmalte y dentina.","1- Se utiliza principalmente para:
Restauraciones directas con resinas compuestas fotopolimerizables.
Reparaciones de porcelana o resina.
Desensibilización de superficies radiculares.
Adhesión de restauraciones indirectas combinadas con cementos de resina.

2- No requiere agitar antes de usar gracias a su tecnología de nanorelleno.
3- Se aplica siguiendo una técnica adhesiva de grabado total.
","Tecnología de nanorelleno patentada: Evita la sedimentación, garantizando estabilidad.
Solvente de etanol/agua: Menos volátil comparado con bases de acetona, resultando en menos desperdicio.
Copolímero Vitrebond: Asegura una buena adhesión incluso en dentina húmeda.
Botella translúcida y hermética: Permite controlar la cantidad restante, minimizando la evaporación del contenido.
Versatilidad: Adecuado para restauraciones directas e indirectas.","Forma de empaque: Botella de 6 g con tapa abatible (Flip-top).
Materiales adicionales: Incluye instructivos detallados para su uso.",https://www.3mchile.cl/3M/es_CL/p/d/v000302696/
3M™ Scotchbond™ Universal Etchant (41263) / Grabador universal Scotchbond™ de 3M™ (41263),"Facilitar el grabado ácido del esmalte y la dentina durante los procedimientos dentales, utilizando un gel desmineralizante a base de ácido fosfórico al 35%.","1- Utilizar según las indicaciones proporcionadas en los sistemas adhesivos dentales asociados.
2- Aplicar directamente sobre el esmalte o la dentina con la jeringa o el frasco.
3- Asegurarse de enjuagar completamente el gel, ayudado por su color azul claro que facilita verificar la eliminación completa.","Color azul claro: Permite un aclarado visual claro para asegurar la limpieza del área tratada.
Punta dispensadora flexible: Se ajusta fácilmente para una aplicación personalizada.
Consistencia tipo gel: Baja viscosidad que permite una colocación uniforme y controlada.
Fácil aplicación y manejo: Mejora la experiencia tanto para el profesional como para el paciente.","Opciones disponibles: Frasco o jeringa, adaptándose a diferentes necesidades clínicas.
Material base: Ácido fosfórico al 35%.
",https://www.3mchile.cl/3M/es_CL/p/d/b00007566/
Restaurador universal 3M™ Filtek™ Z250 (todos los tonos excepto B0.5 y B1),"Proporcionar un material de restauración dental universal que ofrezca restauraciones resistentes, duraderas y de aspecto natural tanto para aplicaciones anteriores como posteriores.","1) Indicaciones:
Restauraciones directas e indirectas en dientes anteriores y posteriores.
Reconstrucción de muñones, carillas, inlays, onlays y coronas.
Fortalecimiento de núcleos y ferulizaciones.
2) Aplicación:
Usar una jeringa para la aplicación del compuesto.
Fotocurar el material después de modelarlo para obtener resultados óptimos.
3) Compatibilidad: Se recomienda combinarlo con el adhesivo 3M™ Scotchbond™ Universal Plus para mejores resultados.","Estética natural: Disponible en 12 tonos que se integran con la estructura dental.
Alta resistencia y baja contracción: Reduce la sensibilidad postoperatoria y ofrece alta resistencia a la fractura y el desgaste.
Excelente manejabilidad: Resiste el desprendimiento o adherencia a los instrumentos, facilitando la modelación.
Pulido fácil y duradero: Superficie que mantiene un brillo prolongado.
Universalidad: Diseño microhíbrido para aplicaciones en diversos procedimientos.","Forma: Jeringas de 4 g por unidad.
Disponibilidad: Se ofrecen en paquetes interiores de 10 unidades
Todos los tonos excepto B0.5 y B1",https://www.3mchile.cl/3M/es_CL/p/d/b00007927/
Restaurador Universal 3M FILTEK Z250 (tonos B0.5 y B1),"Proporcionar un material de restauración dental universal que ofrezca restauraciones resistentes, duraderas y de aspecto natural tanto para aplicaciones anteriores como posteriores.","1) Indicaciones:
Restauraciones directas e indirectas en dientes anteriores y posteriores.
Reconstrucción de muñones, carillas, inlays, onlays y coronas.
Fortalecimiento de núcleos y ferulizaciones.
2) Aplicación:
Usar una jeringa para la aplicación del compuesto.
Fotocurar el material después de modelarlo para obtener resultados óptimos.
3) Compatibilidad: Se recomienda combinarlo con el adhesivo 3M™ Scotchbond™ Universal Plus para mejores resultados.","Estética natural: Disponible en 12 tonos que se integran con la estructura dental.
Alta resistencia y baja contracción: Reduce la sensibilidad postoperatoria y ofrece alta resistencia a la fractura y el desgaste.
Excelente manejabilidad: Resiste el desprendimiento o adherencia a los instrumentos, facilitando la modelación.
Pulido fácil y duradero: Superficie que mantiene un brillo prolongado.
Universalidad: Diseño microhíbrido para aplicaciones en diversos procedimientos.","Forma: Jeringas de 4 g por unidad.
Disponibilidad: Se ofrecen en paquetes interiores de 10 unidades
Tonos: B0.5 y B1",https://www.3mchile.cl/3M/es_CL/p/d/b00007927/
RESTAURADOR 3M® ESPE® FILTEK® Z350 XT UNIVERSAL 7018/ 7019,"Proporcionar un restaurador dental universal basado en nanotecnología, diseñado para crear restauraciones estéticas de aspecto natural con un excelente brillo y durabilidad.","Prepara la superficie con las espirales beige de prepulido.
Aplica el restaurador Filtek™ Z350 XT, fotocura según las indicaciones.
Finaliza con las espirales rosas para pulido, logrando un brillo similar al de una pasta.","Nanotecnología avanzada: Garantiza retención de brillo y resistencia, reduciendo el desgaste y facilitando el pulido.
Universalidad: Adecuado para cualquier clase dental y diversas aplicaciones clínicas.
Manejabilidad y durabilidad: Fácil de aplicar, resiste la adhesión a instrumentos y ofrece alta durabilidad.
Variedad de tonos y opacidades: Disponible en una gama extensa para adecuarse a diversas necesidades estéticas.
Sistema de pulido eficiente: Logra resultados comparables al de una pasta sin la necesidad de cambiar herramientas constantemente.","Tonos: Una amplia gama con ocho principales para restauraciones de un solo tono.
Formato: Compatibilidad con el sistema Sof-Lex™, disponible en espirales reutilizables y esterilizables.
Soporte multimedia: Videos y guías detalladas para facilitar el uso y comparar con la competencia.",https://www.3mchile.cl/3M/es_CL/p/d/b00007977/
-3M™ Filtek™ Z350 Universal Restorative (6018),"Ofrecer un restaurador universal altamente estético y resistente, diseñado para cubrir todas las necesidades de restauraciones directas, tanto en dientes anteriores como posteriores.
","1- Técnicas disponibles:
Una sola opacidad: Uso simple con tonos cuerpo que se ajustan a la guía clásica VITA®.
Estratificación: Uso avanzado con tonos en 4 opacidades (dentina, cuerpo, esmalte y translúcido).
Incremental: Aplicación capa por capa según los requerimientos del caso.
2 Indicaciones:
Restauraciones anteriores para máxima estética.
Restauraciones posteriores con alta resistencia al desgaste.","Estética duradera: Gracias a su relleno 100% nanométrico, asegura brillo y estética a largo plazo.
Resistencia al desgaste: Menor tasa de desgaste debido a su nanotecnología innovadora.
Versatilidad: Permite adaptarse a diversas técnicas según las necesidades estéticas del paciente.
Amplia gama de tonos: Compatible con múltiples tonos y opacidades para personalizar restauraciones.
Tecnología avanzada: Los nanoagregados se desgastan al mismo ritmo que la resina, manteniendo el brillo suave de la superficie.","Compatible con la Guía de tonos clásica VITA®.
Diseñado para todas las clases de restauraciones (anteriores y posteriores).",https://www.3mchile.cl/3M/es_CL/dental-la/productos/filtek-z350-xt/
3M™ Filtek™ Supreme Flowable,"Proveer un restaurador dental fluido que combina diseño ergonómico con nanotecnología avanzada, logrando adaptabilidad, resistencia y estética en restauraciones mínimamente invasivas.","1) Indicaciones principales:
Restauraciones Clase III y Clase V.
Reparaciones de pequeñas restauraciones indirectas.
Sellado de fosetas y fisuras.
Base y liner en restauraciones incrementales de hasta 2 mm.
2) Aplicación:
Utilizar la nueva jeringa ergonómica para una dispensación precisa y eficiente.
Calentar la jeringa a una temperatura máxima de 70°C (158°F) para mejorar la fluidez, sin afectar las propiedades del material.
Consultar las instrucciones para detalles específicos de uso.","Diseño mejorado de la jeringa: Reducción de burbujas, menor desperdicio y mejor visibilidad del material restante.
Cánula flexible: Permite un acceso fácil a zonas difíciles sin retorcerse.
Nanotecnología patentada: Ofrece uniformidad en las partículas, garantizando alta resistencia al desgaste y excelente estética.
Versatilidad: Compatible con diversas técnicas y procedimientos odontológicos.
Resultados estéticos superiores: Adaptación uniforme al diente y fácil sellado de márgenes.","Contenido: Jeringas de 2 g con 20 puntas dispensadoras por repuesto.
Tonos disponibles: A1, A2, A3, A3.5, A4, B2.
Casos clínicos incluidos: Fotografías de resultados en restauraciones reales.",https://www.3mchile.cl/3M/es_CL/p/d/b5005163004/
